Project_ID,Loan_Amount,ROI,Year_1,Year_2,Year_3
L001,235398.20483933017,0.1861613707398464,43822.05,43822.05,43822.05
L002,111111.57122836754,0.16538126686841115,18375.77,18375.77,18375.77
L003,367719.6408995513,0.17109214138037374,62913.94,62913.94,62913.94
L004,431244.34675955883,0.13257736170683784,57173.24,57173.24,57173.24
L005,416770.33419388684,0.13752919612983147,57318.09,57318.09,57318.09
L006,361717.9150304339,0.15114303938715706,54671.15,54671.15,54671.15
L007,392700.51044783567,0.16396464534290708,64389.0,64389.0,64389.0
L008,332750.78556920984,0.18619999486347993,61958.19,61958.19,61958.19
L009,127101.41707379505,0.1407451560885226,17888.91,17888.91,17888.91
L010,467683.73985139886,0.13309900860320928,62248.24,62248.24,62248.24
