Project_ID,Expected_Annual_Revenue,Revenue_Share,Year_1,Year_2,Year_3
RBF001,499359.1205701844,0.10774018568296627,53801.04,53801.04,53801.04
RBF002,560745.8398709048,0.1056578243658724,59247.19,59247.19,59247.19
RBF003,352271.25125258113,0.11061029867862446,38964.83,38964.83,38964.83
RBF004,1854729.1787777352,0.0672004521201884,124638.64,124638.64,124638.64
RBF005,1642176.385410015,0.0515416748288709,84640.52,84640.52,84640.52
RBF006,1915019.6143041644,0.13804417612098452,264357.3,264357.3,264357.3
RBF007,997860.7685965414,0.10319418358146042,102973.43,102973.43,102973.43
RBF008,892832.4213803236,0.05754329616750941,51376.52,51376.52,51376.52
RBF009,567606.9355458955,0.1390435115648661,78922.06,78922.06,78922.06
RBF010,550043.022743524,0.06262766483408391,34447.91,34447.91,34447.91
