ConfigID,Scenario,Lambda,Z1,Z2,Z3
1,S1.1,0.5,471.30220851700807,7.314,0.0
2,S1.1,1.0,470.1733044117008,6.628,0.0
3,S1.1,2.5,342.04786804478704,5.683,0.0
4,S1.1,5.0,404.4202315659356,6.185,0.0
5,S1.1,7.5,337.7073300305739,5.2,0.0
6,S1.2,0.5,775.7447182740314,2.985,681.3199999999999
7,S1.2,1.0,601.0662253106871,2.297,544.42
8,S1.2,2.5,581.7844005479141,2.285,520.01
9,S1.2,5.0,675.5780686386247,2.624,600.7199999999999
10,S1.2,7.5,767.8641091219262,2.97,674.8299999999999
11,S1.3,0.5,491.9986666044255,2.626,80.71
12,S1.3,1.0,430.71541642768136,2.332,76.86
13,S1.3,2.5,497.9069882656042,2.658,84.07
14,S1.3,5.0,424.0437965240776,2.318,74.48
15,S1.3,7.5,431.3072926658612,2.316,68.19
16,S1.4,0.5,610.733917982681,2.303,597.4100000000001
17,S1.4,1.0,609.3356259798079,2.307,597.56
18,S1.4,2.5,700.2241815373732,2.644,678.31
19,S1.4,5.0,505.86293361165207,1.979,494.2600000000001
20,S1.4,7.5,699.5217422123792,2.626,670.87
