ConfigID,Scenario,Lambda,Z1,Z2,Z3
1,S1.1,0.5,471.30220851700807,7.313601232662569,0.0
2,S1.1,1.0,470.17330441170077,6.6279969386401,0.0
3,S1.1,2.5,342.04786804478704,5.682989022047494,0.0
4,S1.1,5.0,404.4202315659356,6.184630801469044,0.0
5,S1.1,7.5,337.7073300305739,5.199564331318363,0.0
6,S1.2,0.5,775.7447182740314,2.9845712,681.3199999999999
7,S1.2,1.0,601.0662253106871,2.2974115879999997,544.42
8,S1.2,2.5,581.7844005479141,2.28546198,520.01
9,S1.2,5.0,675.5780686386247,2.623836216,600.7199999999999
10,S1.2,7.5,767.8641091219262,2.970000496,674.8299999999999
11,S1.3,0.5,491.99866660442547,2.626167092,80.71
12,S1.3,1.0,430.71541642768136,2.3319196559999997,76.86
13,S1.3,2.5,497.90698826560424,2.6584994159999997,84.07
14,S1.3,5.0,424.0437965240776,2.3183398960000003,74.48
15,S1.3,7.5,431.3072926658612,2.3159246959999997,68.19
16,S1.4,0.5,610.733917982681,2.303149648,597.4100000000001
17,S1.4,1.0,609.3356259798079,2.307303624,597.56
18,S1.4,2.5,700.2241815373732,2.6441144559999996,678.31
19,S1.4,5.0,505.86293361165207,1.9785857160000002,494.26000000000005
20,S1.4,7.5,699.5217422123792,2.626220804,670.87
