,j3014_9,j3015_1,j3015_10,j3015_2,j3015_3,j3015_4,j3015_5,j3015_6,j3015_7,j3015_8,j3015_9
j3014_9,0.9999999999999998,0.877773385614499,0.835808914397539,0.7364721679922375,0.8683049086210379,0.779530904352094,0.7073771893848271,0.8237485887745467,0.8371783426193227,0.7623333002636429,0.9617398165187736
j3015_1,0.877773385614499,1.0000000000000002,0.8333819093197193,0.7340640004950987,0.8313437209259154,0.8093564474513616,0.661204839005565,0.754787313953444,0.7029932884141114,0.6557981314316353,0.843841265947985
j3015_10,0.835808914397539,0.8333819093197193,1.0,0.4988397311688032,0.9034402001241203,0.7685983400445139,0.7372822320172389,0.7531114938781966,0.8191450350442572,0.5660744110543855,0.8464665661941685
j3015_2,0.7364721679922375,0.7340640004950987,0.4988397311688032,0.9999999999999999,0.6330637228144996,0.5431829894628997,0.5985017714590164,0.6678731707988446,0.4246784219282863,0.6883966752324784,0.7473955152924716
j3015_3,0.8683049086210379,0.8313437209259154,0.9034402001241203,0.6330637228144996,0.9999999999999999,0.7949599700796486,0.7512723153742763,0.7433066387686634,0.8716386252616224,0.7569100127941468,0.9166606722358712
j3015_4,0.779530904352094,0.8093564474513616,0.7685983400445139,0.5431829894628997,0.7949599700796486,1.0,0.9056235526697924,0.5305914514659156,0.8803861572433919,0.7386765277446805,0.7505417301104698
j3015_5,0.7073771893848271,0.661204839005565,0.7372822320172389,0.5985017714590164,0.7512723153742763,0.9056235526697924,1.0000000000000002,0.5418614602204127,0.7808596390131124,0.7870210248490942,0.742318043885387
j3015_6,0.8237485887745467,0.754787313953444,0.7531114938781966,0.6678731707988446,0.7433066387686634,0.5305914514659156,0.5418614602204127,1.0000000000000002,0.6153621199701533,0.7002868929425838,0.7818289235163207
j3015_7,0.8371783426193227,0.7029932884141114,0.8191450350442572,0.4246784219282863,0.8716386252616224,0.8803861572433919,0.7808596390131124,0.6153621199701533,1.0,0.6901002232307056,0.7952612971285544
j3015_8,0.7623333002636429,0.6557981314316353,0.5660744110543855,0.6883966752324784,0.7569100127941468,0.7386765277446805,0.7870210248490942,0.7002868929425838,0.6901002232307056,1.0,0.813785484378159
j3015_9,0.9617398165187736,0.843841265947985,0.8464665661941685,0.7473955152924716,0.9166606722358712,0.7505417301104698,0.742318043885387,0.7818289235163207,0.7952612971285544,0.813785484378159,1.0
